Note: Avg audiobook length determined from sample of 25 bestselling audiobooks on audible.com,,,,
hrs,mins,hrs + mins (total hours),,
11,51,11.85,,
10,59,10.9833333333333,,
12,17,12.2833333333333,,
18,24,18.4,,
12,16,12.2666666666667,,
8,33,8.55,,
8,24,8.4,,
4,50,4.83333333333333,,
5,30,5.5,,
10,24,10.4,,
21,50,21.8333333333333,,
30,44,30.7333333333333,,
13,3,13.05,,
10,57,10.95,,
17,26,17.4333333333333,,
14,40,14.6666666666667,,
9,12,9.2,,
16,2,16.0333333333333,,
6,14,6.23333333333333,,
9,9,9.15,,
13,23,13.3833333333333,,
13,37,13.6166666666667,,
9,18,9.3,,
13,4,13.0666666666667,,
,,,,
,Average:,12.6202898550725,,
,,,,
